リークアドレス,リークサイズ,保持時間
3105605387952,48,3925640
3105605389472,272,3925562
3105605389760,272,3925312
3105605390600,272,3925265
3105605390888,272,3925187
3105605390048,80,3925000
3105605391176,472,3924750
3105605390440,144,3924703
3105605388016,144,3924640
3105605388176,48,3924562
3105605391664,272,3924515
3105605391952,272,3924265
3105605392792,272,3924203
3105605393080,272,3924140
3105605387632,24,3923828
3105605388240,80,3923765
3105605388336,24,3923687
3105605387672,48,3923640
3105605387336,24,3923390
3105605387376,48,3923328
3105605393368,472,3922765
3105605392408,144,3922703
3105605387440,48,3922640
3105605392568,144,3922578
3105605392728,24,3922328
3105605394408,528,3922281
3105605390144,272,3922140
3105605392240,24,3922015
3105605392280,80,3921922
3105605393856,24,3921906
3105605393896,48,3921828
3105605393960,24,3921594
3105605394192,48,3921547
3105605394256,24,3920812
3105605394296,24,3920750
3105605394336,24,3920687
3105605394952,32,3920625
3105605395408,472,3920562
3105605395896,272,3920500
3105605396184,272,3920437
3105605395000,48,3920375
3105605396472,272,3920312
3105605395064,24,3920062
3105605396760,272,3920000
3105605397048,48,3919875
3105605397112,272,3919812
3105605397400,472,3919750
3105605397888,272,3919687
3105605398176,272,3919625
3105605398464,48,3919562
3105605398528,272,3919515
3105605398816,272,3919281
3105605399656,272,3919203
3105605399944,144,3919140
3105605400104,24,3919062
3105605400144,24,3919015
3105605400184,144,3918969
3105605400344,272,3918922
3105605399104,48,3918812
3105605399168,272,3918750
3105605400632,472,3918703
3105605401120,272,3918640
3105605401408,272,3918562
3105605399456,48,3918515
3105605401696,272,3918453
3105605399520,24,3918219
3105605401984,272,3918172
3105605399560,48,3918031
3105605402272,272,3917984
3105605402560,472,3917922
3105605403048,272,3917844
3105605403336,272,3917797
3105605403624,48,3917719
3105605403688,272,3917672
3105605403976,272,3917437
3105605404816,272,3917375
3105605405104,144,3917312
3105605405264,24,3917250
3105605405304,24,3917187
3105605405344,144,3917125
3105605405504,272,3917062
3105605404264,48,3916937
3105605404328,272,3916859
3105605405792,472,3916812
3105605406280,272,3916750
3105605406568,272,3916719
3105605404616,48,3916672
3105605406856,272,3916625
3105605407144,272,3916422
3105605407984,272,3916359
3105605408272,144,3916297
3105605404680,24,3916250
3105605404720,24,3916187
3105605408432,144,3916125
3105605408592,272,3916062
3105605408880,48,3916000
3105605408944,48,3915625
3105605409008,48,3915515
3105605409072,24,3915375
3105605404760,24,3915187
3105605409168,24,3915125
3105605409112,24,3914937
3105605409280,24,3914875
3105605409320,24,3914812
3105605409360,24,3914765
3105605409504,24,3914297
3105605409544,48,3914234
3105605409440,24,3914094
3105605409400,24,3913906
3105605409664,24,3913859
3105605409776,48,3913094
3105605409840,48,3913031
3105605409704,24,3912844
3105605409960,24,3912656
3105605410176,48,3912047
3105605410240,48,3911922
3105605409904,24,3911734
3105605410360,24,3911547
3105605409608,24,3911484
3105605410576,144,3910500
3105605410072,48,3910375
3105605410304,24,3910187
3105605410136,24,3910000
3105605410400,24,3909937
3105605410512,24,3909750
3105605410000,24,3909687
3105605410736,24,3909625
3105605410776,24,3909562
3105605410920,80,3909375
3105605410440,32,3908875
3105605411696,48,3908812
3105605411760,112,3908750
3105605411888,200,3908687
3105605412104,80,3908640
3105605412200,48,3908578
3105605410816,48,3908140
3105605412264,144,3908015
3105605407432,32,3907890
3105605407480,80,3907812
3105605407576,48,3907765
3105605407640,48,3907703
3105605412424,272,3907640
3105605412712,472,3907578
3105605413200,272,3907515
3105605413488,272,3907453
3105605407704,48,3907390
3105605413776,272,3907328
3105605414064,272,3907078
3105605414904,272,3907015
3105605407768,144,3906953
3105605410880,24,3906890
3105605407928,24,3906828
3105605415192,144,3906765
3105605415352,272,3906703
3105605415640,48,3906640
3105605415704,48,3906281
3105605415768,48,3906140
3105605415872,24,3906015
3105605415832,24,3905828
3105605415968,24,3905765
3105605415912,24,3905578
3105605416080,24,3905531
3105605416120,24,3905469
3105605416160,24,3905406
3105605416304,24,3904906
3105605416344,48,3904828
3105605416240,24,3904656
3105605416200,24,3904469
3105605416464,24,3904406
3105605416576,48,3903656
3105605416640,48,3903594
3105605416504,24,3903390
3105605416760,24,3903219
3105605416976,48,3902594
3105605417040,48,3902469
3105605416704,24,3902297
3105605417160,24,3902094
3105605416408,24,3902047
3105605417376,144,3901031
3105605416872,48,3900906
3105605417104,24,3900734
3105605416936,24,3900547
3105605417200,24,3900484
3105605417312,24,3900297
3105605416800,24,3900219
3105605417536,24,3900156
3105605417576,24,3900094
3105605417720,80,3899906
3105605417240,32,3899422
3105605418496,48,3899344
3105605418560,112,3899297
3105605418688,200,3899234
3105605418904,80,3899156
3105605419000,48,3899094
3105605417616,48,3898656
3105605419064,144,3898547
3105605414352,144,3898297
3105605417816,80,3898234
3105605414512,80,3898172
3105605414608,80,3898047
3105605414704,144,3897984
3105605417912,144,3897922
3105605418072,80,3897859
3105605416008,48,3897797
3105605418168,80,3897734
3105605418264,144,3897672
3105605419224,144,3897609
3105605419384,80,3897547
3105605419480,80,3897484
3105605418424,32,3897437
3105605419576,80,3897375
3105605419672,48,3897312
3105605419736,48,3897265
3105605419800,144,3897203
3105605419960,48,3897140
3105605409208,48,3896875
3105605411016,272,3896812
3105605420024,472,3896765
3105605411304,272,3896687
3105605420512,272,3896625
3105605411592,48,3896547
3105605420800,272,3896500
3105605421088,272,3896265
3105605421928,272,3896187
3105605422216,144,3896125
3105605417680,24,3896062
3105605411656,24,3896000
3105605422376,144,3895937
3105605422536,272,3895875
3105605422824,48,3895812
3105605422976,48,3895437
3105605422888,48,3895312
3105605423040,24,3895187
3105605414864,24,3895000
3105605423136,24,3894937
3105605423080,24,3894750
3105605423248,24,3894687
3105605423288,24,3894625
3105605423328,24,3894562
3105605423472,24,3894094
3105605423512,48,3894031
3105605423408,24,3893859
3105605423368,24,3893672
3105605423632,24,3893609
3105605423744,48,3892859
3105605423808,48,3892797
3105605423672,24,3892562
3105605423928,24,3892390
3105605424144,48,3891765
3105605424208,48,3891656
3105605423872,24,3891453
3105605424328,24,3891281
3105605423576,24,3891203
3105605424544,144,3890187
3105605424272,40,3890062
3105605424040,48,3890000
3105605424368,48,3889937
3105605423968,24,3889750
3105605424104,24,3889547
3105605424488,24,3889500
3105605424432,24,3889312
3105605424776,24,3889234
3105605424816,24,3889187
3105605424856,24,3889140
3105605425560,80,3888953
3105605424704,32,3888406
3105605425760,48,3888359
3105605425824,112,3888281
3105605425952,200,3888234
3105605426168,80,3888172
3105605426264,48,3888109
3105605424896,48,3887672
3105605426328,48,3887531
3105605426392,24,3887422
3105605424960,24,3887234
3105605426488,24,3887172
3105605426432,24,3886984
3105605426600,24,3886937
3105605426640,24,3886875
3105605426680,24,3886812
3105605426528,24,3886625
3105605426824,24,3886578
3105605426864,24,3886515
3105605426904,80,3885781
3105605427000,48,3885656
3105605425696,24,3885484
3105605425656,24,3885297
3105605426776,24,3885234
3105605426720,24,3885047
3105605427440,24,3884984
3105605427480,24,3884922
3105605427520,24,3884859
3105605427368,24,3884672
3105605427664,24,3884609
3105605427704,80,3884531
3105605427800,144,3883640
3105605427960,48,3883562
3105605428024,48,3883484
3105605427560,48,3883015
3105605428088,32,3882906
3105605428136,80,3882859
3105605427064,48,3882781
3105605428816,80,3882515
3105605427624,24,3882469
3105605428912,80,3882422
3105605429008,24,3882109
3105605429048,24,3882062
3105605427128,80,3882000
3105605427224,24,3881937
3105605427264,80,3881875
3105605429272,80,3881812
3105605429368,24,3880828
3105605430128,144,3880750
3105605430288,48,3880359
3105605429408,528,3880297
3105605431000,472,3880234
3105605430352,48,3880172
3105605429952,48,3880109
3105605431488,272,3880047
3105605431776,272,3879797
3105605432616,272,3879734
3105605432904,272,3879672
3105605430016,24,3879609
3105605430056,24,3879547
3105605433192,272,3879484
3105605433480,272,3879422
3105605429088,48,3879375
3105605429192,24,3879234
3105605429232,24,3879047
3105605429152,24,3879000
3105605433768,24,3878797
3105605433896,24,3878750
3105605433936,24,3878672
3105605433976,24,3878609
3105605433808,24,3878422
3105605433848,24,3878375
3105605434120,80,3877625
3105605434216,48,3877500
3105605434056,24,3877312
3105605434016,24,3877140
3105605428288,24,3877062
3105605428232,24,3876875
3105605428400,24,3876812
3105605428440,24,3876750
3105605428480,24,3876687
3105605434584,80,3875828
3105605428328,48,3875703
3105605435048,472,3875578
3105605434680,48,3875515
3105605434280,48,3875453
3105605435536,528,3875390
3105605428520,272,3875140
3105605436632,272,3875078
3105605436920,272,3875015
3105605434344,24,3874969
3105605434384,24,3874906
3105605437208,272,3874828
3105605437496,272,3874781
3105605423176,24,3874031
3105605434424,24,3873953
3105605434464,24,3873890
3105605434504,32,3873828
3105605421376,472,3873781
3105605395104,272,3873703
3105605434744,272,3873656
3105605421864,48,3873578
3105605425000,272,3873531
3105605436376,24,3873281
3105605430416,272,3873203
3105605436416,48,3873078
3105605432064,272,3873015
3105605437784,472,3872953
3105605430704,272,3872906
3105605438272,272,3872828
3105605436480,48,3872765
3105605438560,272,3872703
3105605438848,272,3872453
3105605439688,272,3872390
3105605432352,80,3872328
3105605436544,24,3872281
3105605436584,24,3872203
3105605432448,80,3872156
3105605439976,272,3872078
3105605432544,48,3871953
3105605439136,272,3871890
3105605440264,472,3871828
3105605440752,272,3871781
3105605441040,272,3871703
3105605439424,48,3871656
3105605441328,272,3871578
3105605439488,24,3871344
3105605441616,272,3871281
3105605439528,48,3871140
3105605441904,272,3871094
3105605442192,472,3871031
3105605442680,272,3870969
